lat,lon
37.069303,-94.45610767
37.06930333,-94.456291
37.069304,-94.45646717
37.06930417,-94.456639
37.06930483,-94.45680783
37.06930717,-94.45697467
37.0693095,-94.45713867
37.06931333,-94.45729883
37.069313,-94.45745467
37.06931367,-94.457613
37.06931433,-94.457775
37.06931667,-94.4579385
37.06931867,-94.45810217
37.06932,-94.4582635
37.06932083,-94.4584205
37.069324,-94.45857383
37.06932683,-94.45872217
37.069329,-94.45886017
37.06933117,-94.458982
37.06933267,-94.45908533
37.069334,-94.45917317
37.0693355,-94.459246
37.06933983,-94.45931183
37.069349,-94.45937867
37.06937033,-94.45944717
37.06939817,-94.45951317
37.06941883,-94.45957783
37.069423,-94.45964217
37.06941133,-94.45970633
37.06939017,-94.45977367
37.0693745,-94.45984417
37.06936467,-94.45991433
37.06935233,-94.459978
37.069332,-94.46003233
37.069305,-94.46007583
37.069274,-94.46011383
37.06924233,-94.460146
37.06920867,-94.46017233
37.069174,-94.46019417
37.06913817,-94.46020467
37.0691085,-94.46021133
37.0690865,-94.4602075
37.06907667,-94.4602075
37.069074,-94.46020617
37.069073,-94.46020417
37.0690715,-94.46020167
37.0690715,-94.46020167
37.0690715,-94.46020167
37.06907517,-94.460208
37.06907433,-94.4602065
37.06907383,-94.46020617
37.06907483,-94.4602105
37.06907483,-94.460211
37.06907517,-94.46021283
37.0690745,-94.46021467
